Unnamed: 0,checking_balance,months_loan_duration,credit_history,purpose,amount,savings_balance,employment_length,installment_rate,personal_status,other_debtors,residence_history,property,age,installment_plan,housing,existing_credits,default,dependents,telephone,foreign_worker,job,gender,Id
267,,24,repaid,radio/tv,1533,98.0,5 months,4,,none,2 years,other,38,stores,own,1,0,1,2346337538.0,yes,skilled employee,female,267
268,-3.0,14,repaid,car (new),8978,72.0,19 years,1,divorced,none,20 years,building society savings,45,none,own,1,1,1,2343282304.0,no,mangement self-employed,male,268
271,,12,critical,furniture,1402,647.0,5 years,3,,none,18 years,other,37,none,rent,1,0,1,2348684876.0,yes,skilled employee,female,271
272,90.0,48,fully repaid this bank,car (new),12169,,,4,single,co-applicant,10 years,unknown/none,36,none,for free,1,0,1,2341256945.0,yes,mangement self-employed,male,272
273,157.0,48,repaid,radio/tv,3060,18.0,5 years,4,single,none,17 years,real estate,28,none,own,2,1,1,,yes,skilled employee,male,273
275,,9,repaid,radio/tv,2697,86.0,3 years,1,single,none,7 months,real estate,32,none,own,1,0,2,,yes,skilled employee,male,275
277,-8.0,12,repaid,furniture,1262,,19 years,2,divorced,none,10 years,building society savings,49,none,own,1,0,1,2342492847.0,yes,unskilled resident,male,277
278,,6,repaid,furniture,4611,28.0,0 months,1,,none,12 years,building society savings,32,none,own,1,1,1,,yes,skilled employee,female,278
279,,24,repaid,radio/tv,1901,213.0,1 years,4,single,none,13 years,other,29,none,rent,1,0,1,2345496772.0,yes,mangement self-employed,male,279
284,163.0,24,critical,car (new),3878,273.0,7 months,4,divorced,none,5 months,other,37,none,own,1,0,1,2348153717.0,yes,skilled employee,male,284
286,-42.0,48,repaid,car (used),4788,68.0,6 years,4,single,none,4 years,building society savings,26,none,own,1,0,2,,yes,skilled employee,male,286
289,-14.0,24,delayed,radio/tv,1024,8.0,2 months,4,married,none,14 years,real estate,48,stores,own,1,1,1,,yes,skilled employee,male,289
290,,12,repaid,business,1076,50.0,3 years,2,married,none,4 months,real estate,26,none,own,1,0,1,2348809336.0,no,skilled employee,male,290
293,623.0,42,critical,car (used),4796,40.0,13 years,4,single,none,13 years,unknown/none,56,none,for free,1,0,1,,yes,skilled employee,male,293
294,,48,critical,business,7629,,9 years,4,divorced,none,9 months,other,46,bank,own,2,0,2,,yes,mangement self-employed,male,294
295,146.0,48,repaid,furniture,9960,35.0,1 months,1,,none,0 months,other,26,none,own,1,1,1,2348370393.0,yes,skilled employee,female,295
297,,10,repaid,car (new),1287,,9 years,4,single,co-applicant,8 months,building society savings,45,none,own,1,0,1,,no,unskilled resident,male,297
299,18.0,21,critical,furniture,2745,14575.0,5 years,3,single,none,4 months,other,32,none,own,2,0,1,2347780654.0,yes,skilled employee,male,299
300,,6,repaid,car (new),672,3.0,,1,,none,15 years,real estate,54,none,own,1,0,1,2346344843.0,yes,unemployed non-resident,female,300
301,194.0,36,fully repaid,radio/tv,3804,78.0,3 years,4,,none,,other,42,none,own,1,1,1,2346744466.0,yes,skilled employee,female,301
302,482.0,24,critical,car (new),1344,,7 years,4,single,none,7 months,real estate,37,bank,own,2,1,2,,yes,unskilled resident,male,302
304,,48,critical,car (new),10127,943.0,1 years,2,single,none,8 months,unknown/none,44,bank,for free,1,1,1,,yes,skilled employee,male,304
305,,6,repaid,furniture,1543,2785.0,2 years,4,divorced,none,5 months,real estate,33,none,own,1,0,1,,yes,skilled employee,male,305
307,-32.0,12,repaid,radio/tv,727,280.0,0 months,4,married,none,1 years,unknown/none,33,none,own,1,1,1,2343378203.0,yes,unskilled resident,male,307
308,179.0,8,repaid,furniture,1237,83.0,1 years,3,,none,6 years,real estate,24,none,own,1,1,1,,yes,skilled employee,female,308
309,165.0,9,repaid,car (new),276,40.0,1 years,4,married,none,16 years,real estate,22,none,rent,1,0,1,,yes,unskilled resident,male,309
313,32.0,12,repaid,car (new),685,33.0,5 years,2,married,none,4 years,other,25,bank,own,1,1,1,,yes,unskilled resident,male,313
314,927.0,4,repaid,car (new),1494,,3 months,1,single,none,9 months,real estate,29,none,own,1,0,2,,no,unskilled resident,male,314
316,-47.0,12,repaid,furniture,708,83.0,3 years,2,single,guarantor,1 years,building society savings,38,none,own,1,0,2,,yes,unskilled resident,male,316
317,44.0,24,repaid,furniture,4351,,1 years,1,,none,12 years,building society savings,48,none,own,1,0,1,2340264152.0,yes,unskilled resident,female,317
318,,12,critical,education,701,3.0,1 years,4,single,none,9 months,other,32,none,own,2,0,1,,yes,skilled employee,male,318
319,-6.0,15,delayed,furniture,3643,50.0,14 years,1,,none,24 years,building society savings,27,none,own,2,0,1,,yes,unskilled resident,female,319
320,132.0,30,critical,car (new),4249,76.0,,4,married,none,5 months,other,28,none,own,2,1,1,,yes,mangement self-employed,male,320
322,-2.0,24,repaid,car (used),2910,65.0,4 years,2,single,none,,unknown/none,34,none,for free,1,0,1,2344259663.0,yes,mangement self-employed,male,322
324,,18,critical,car (new),1028,93.0,1 years,4,,none,3 years,real estate,36,none,own,2,0,1,,yes,skilled employee,female,324
326,,12,critical,furniture,5801,,10 years,2,single,none,16 years,building society savings,49,none,rent,1,0,1,2341999859.0,yes,skilled employee,male,326
327,,24,repaid,car (new),1525,3858.0,6 years,4,,none,3 years,other,34,none,own,1,0,2,2345823642.0,yes,skilled employee,female,327
328,425.0,36,repaid,radio/tv,4473,15.0,11 years,4,single,none,7 months,other,31,none,own,1,0,1,,yes,skilled employee,male,328
329,86.0,6,repaid,radio/tv,1068,65.0,13 years,4,single,none,22 years,other,28,none,own,1,0,2,,yes,skilled employee,male,329
333,,48,critical,car (used),11590,399.0,2 years,2,,none,23 years,other,24,bank,rent,2,1,1,,yes,unskilled resident,female,333
334,-1.0,24,fully repaid,furniture,4110,9.0,19 years,3,single,none,18 years,unknown/none,23,bank,rent,2,1,2,,yes,skilled employee,male,334
337,-13.0,15,repaid,domestic appliances,1275,,1 years,4,,none,9 months,other,24,none,rent,1,1,1,,yes,skilled employee,female,337
338,-40.0,24,repaid,furniture,4169,81.0,3 years,4,single,none,5 years,building society savings,28,none,own,1,0,1,,yes,skilled employee,male,338
340,111.0,24,critical,education,5743,93.0,6 months,2,,none,9 years,unknown/none,24,none,for free,2,0,1,2344569499.0,yes,skilled employee,female,340
341,-7.0,21,repaid,furniture,3599,14.0,7 years,1,,none,7 years,other,26,none,rent,1,0,1,,yes,unskilled resident,female,341
343,72.0,18,repaid,business,4439,61.0,8 years,1,single,co-applicant,,real estate,33,bank,own,1,0,1,2344072380.0,yes,mangement self-employed,male,343
344,406.0,10,repaid,car (new),3949,81.0,8 months,1,single,guarantor,,building society savings,37,none,own,1,0,2,,yes,unskilled resident,male,344
345,,15,critical,radio/tv,1459,57.0,1 years,4,,none,9 months,other,43,none,own,1,0,1,,yes,unskilled resident,female,345
346,199.0,13,critical,radio/tv,882,0.0,1 months,4,single,guarantor,23 years,real estate,23,none,own,2,0,1,,yes,skilled employee,male,346
347,105.0,24,repaid,radio/tv,3758,790.0,,1,,none,16 years,unknown/none,23,none,rent,1,0,1,,yes,unemployed non-resident,female,347
348,,6,delayed,business,1743,265.0,1 years,1,single,none,2 months,real estate,34,none,own,2,0,1,,yes,unskilled resident,male,348
349,5.0,9,critical,education,1136,6195.0,19 years,4,single,none,2 years,unknown/none,32,none,for free,2,1,2,,yes,skilled employee,male,349
350,,9,repaid,domestic appliances,1236,23.0,1 months,1,,none,11 years,real estate,23,none,rent,1,0,1,2346684040.0,yes,skilled employee,female,350
351,77.0,9,repaid,furniture,959,51.0,1 years,1,,none,0 months,other,29,none,own,1,1,1,,no,skilled employee,female,351
352,,18,critical,car (used),3229,,,2,single,none,10 years,unknown/none,38,none,own,1,0,1,2347934664.0,yes,mangement self-employed,male,352
353,-50.0,12,fully repaid,radio/tv,6199,64.0,1 years,4,single,none,0 months,building society savings,28,none,rent,2,1,1,2341566387.0,yes,skilled employee,male,353
354,,10,repaid,education,727,555.0,10 years,4,single,none,15 years,unknown/none,46,none,for free,1,0,1,2346280065.0,yes,skilled employee,male,354
355,12.0,24,repaid,car (new),1246,48.0,7 months,4,single,none,8 months,real estate,23,stores,own,1,1,1,,yes,unskilled resident,male,355
356,,12,critical,radio/tv,2331,,10 years,1,single,co-applicant,22 years,real estate,49,none,own,1,0,1,2341494363.0,yes,skilled employee,male,356
357,,36,delayed,radio/tv,4463,30.0,2 years,4,single,none,0 months,other,26,none,own,2,1,1,2347678106.0,yes,mangement self-employed,male,357
360,24.0,18,repaid,education,1239,,2 years,4,single,none,20 years,unknown/none,61,none,for free,1,0,1,,yes,skilled employee,male,360
361,263.0,12,repaid,radio/tv,3399,,8 years,2,single,none,2 years,other,37,none,own,1,0,1,,yes,mangement self-employed,male,361
362,656.0,12,delayed,car (new),2247,88.0,1 years,2,,none,6 months,other,36,stores,own,2,0,1,2342294160.0,yes,skilled employee,female,362
363,,6,repaid,furniture,1766,30.0,1 years,1,married,none,8 months,building society savings,21,none,rent,1,0,1,,yes,skilled employee,male,363
364,-15.0,18,repaid,furniture,2473,97.0,,4,single,none,,other,25,none,own,1,1,1,,yes,unemployed non-resident,male,364
365,,12,repaid,business,1542,34.0,7 years,2,single,none,15 years,other,36,none,own,1,0,1,2345633915.0,yes,skilled employee,male,365
366,,18,critical,car (used),3850,0.0,5 years,3,single,none,,other,27,none,own,2,0,1,,yes,skilled employee,male,366
367,-14.0,18,repaid,furniture,3650,15.0,2 months,1,,none,8 years,other,22,none,rent,1,0,1,,yes,skilled employee,female,367
370,,36,repaid,car (new),3079,,2 years,4,single,none,24 years,real estate,36,none,own,1,0,1,,yes,skilled employee,male,370
371,,18,critical,radio/tv,6070,43.0,7 years,3,single,none,15 years,other,33,none,own,2,0,1,2346985386.0,yes,skilled employee,male,371
372,,10,critical,furniture,2146,26.0,4 months,1,,none,1 years,real estate,23,none,rent,2,0,1,,yes,skilled employee,female,372
373,,60,critical,car (new),13756,,14 years,2,single,none,5 years,unknown/none,63,bank,for free,1,0,1,2346695389.0,yes,mangement self-employed,male,373
374,39.0,60,fully repaid this bank,others,14782,322.0,16 years,3,,none,6 years,unknown/none,60,bank,for free,2,1,1,2344017386.0,yes,mangement self-employed,female,374
375,-10.0,48,fully repaid this bank,business,7685,23.0,5 years,2,,guarantor,20 years,other,37,none,rent,1,1,1,,yes,skilled employee,female,375
376,,18,delayed,radio/tv,2320,84.0,,2,married,none,2 years,real estate,34,none,own,2,0,1,,yes,skilled employee,male,376
377,,7,delayed,radio/tv,846,,13 years,3,single,none,15 years,unknown/none,36,none,for free,1,0,1,,yes,skilled employee,male,377
379,,6,critical,car (new),362,224.0,2 years,4,,none,11 years,other,52,none,own,2,0,1,,yes,unskilled resident,female,379
380,-23.0,20,repaid,furniture,2212,,4 years,4,single,none,12 years,other,39,none,own,1,0,1,2340501963.0,yes,skilled employee,male,380
381,32.0,18,repaid,car (used),12976,29.0,,3,,none,20 years,unknown/none,38,none,for free,1,1,1,2349193355.0,yes,mangement self-employed,female,381
384,,30,delayed,business,4272,170.0,1 years,2,single,none,11 months,building society savings,26,none,own,2,0,1,,yes,unskilled resident,male,384
385,,18,critical,radio/tv,2238,4.0,2 years,2,,none,,other,25,none,own,2,0,1,,yes,skilled employee,female,385
386,,18,repaid,radio/tv,1126,,6 months,4,,none,8 months,real estate,21,none,rent,1,0,1,2349386464.0,yes,skilled employee,female,386
387,99.0,18,critical,furniture,7374,89.0,,4,single,none,10 years,building society savings,40,stores,own,2,0,1,2340474977.0,yes,mangement self-employed,male,387
388,158.0,15,critical,business,2326,927.0,2 years,2,single,none,9 years,other,27,bank,own,1,0,1,,yes,skilled employee,male,388
389,,9,repaid,business,1449,69.0,5 years,3,,none,8 months,other,27,none,own,2,0,1,,yes,skilled employee,female,389
390,,18,repaid,car (new),1820,42.0,1 years,2,married,none,8 months,building society savings,30,none,own,1,0,1,2346307390.0,yes,mangement self-employed,male,390
391,149.0,12,repaid,furniture,983,9697.0,6 months,1,,none,7 years,real estate,19,none,rent,1,0,1,,yes,unskilled resident,female,391
392,-12.0,36,repaid,car (new),3249,71.0,6 years,2,single,none,13 years,unknown/none,39,bank,for free,1,0,2,2346559129.0,yes,mangement self-employed,male,392
393,-44.0,6,critical,radio/tv,1957,57.0,4 years,1,,none,22 years,other,31,none,own,1,0,1,,yes,skilled employee,female,393
394,,9,critical,furniture,2406,64.0,,2,single,none,4 years,other,31,none,own,1,0,1,,yes,mangement self-employed,male,394
395,126.0,39,delayed,education,11760,148.0,7 years,2,single,none,4 years,unknown/none,32,none,rent,1,0,1,2348353995.0,yes,skilled employee,male,395
397,-7.0,36,critical,furniture,2348,48.0,2 years,3,married,none,1 months,building society savings,46,none,own,2,0,1,2343617698.0,yes,skilled employee,male,397
399,,24,critical,radio/tv,1516,10197.0,1 years,4,,none,,real estate,43,none,own,2,0,1,,yes,unskilled resident,female,399
400,,18,repaid,radio/tv,1473,21.0,0 months,3,married,none,21 years,real estate,39,none,own,1,0,1,2340597664.0,yes,skilled employee,male,400
401,151.0,18,critical,business,1887,,2 years,4,married,none,12 years,real estate,28,bank,own,2,0,1,,yes,skilled employee,male,401
402,,24,delayed,business,8648,72.0,9 months,2,single,none,2 months,other,27,bank,own,2,1,1,2344796388.0,yes,skilled employee,male,402
404,143.0,18,delayed,car (new),2899,,17 years,4,single,none,19 years,other,43,none,own,1,0,2,,yes,skilled employee,male,404
408,,24,repaid,radio/tv,3235,912.0,14 years,3,divorced,none,4 months,other,26,none,own,1,0,1,2348898186.0,yes,mangement self-employed,male,408
409,314.0,12,critical,car (new),939,811.0,7 years,4,married,none,1 months,real estate,28,none,own,3,1,1,2340213959.0,yes,skilled employee,male,409
410,84.0,24,repaid,radio/tv,1967,85.0,16 years,4,,none,14 years,other,20,none,own,1,0,1,2347584384.0,yes,skilled employee,female,410
412,,12,critical,business,2292,42.0,,4,single,none,9 months,other,42,stores,own,2,1,1,2346359293.0,yes,mangement self-employed,male,412
414,-12.0,24,repaid,car (new),1381,,2 years,4,,none,2 months,building society savings,35,none,own,1,1,1,,yes,skilled employee,female,414
415,,36,critical,car (used),5842,45.0,14 years,2,single,none,7 months,building society savings,35,none,own,2,0,2,2345943337.0,yes,skilled employee,male,415
416,-25.0,12,repaid,car (new),2579,10.0,8 months,4,single,none,,real estate,33,none,own,1,1,2,,yes,unskilled resident,male,416
417,-27.0,18,delayed,education,8471,,1 years,1,,none,1 months,other,23,none,rent,2,0,1,2349636962.0,yes,skilled employee,female,417
418,,21,repaid,car (new),2782,914.0,4 years,1,,none,2 months,other,31,bank,own,1,0,1,,yes,mangement self-employed,female,418
419,110.0,18,repaid,car (new),1042,,3 years,4,,none,5 months,building society savings,33,none,own,1,1,1,,yes,skilled employee,female,419
421,132.0,12,repaid,car (used),2028,,1 years,4,single,none,4 months,other,30,none,own,1,0,1,,yes,skilled employee,male,421
422,170.0,12,critical,car (new),958,3.0,7 years,2,single,none,2 years,real estate,47,none,own,2,0,2,,yes,unskilled resident,male,422
423,,21,delayed,furniture,1591,232.0,4 years,4,single,none,1 years,real estate,34,none,own,2,0,1,,yes,mangement self-employed,male,423
425,30.0,18,repaid,car (used),2779,55.0,2 years,1,married,none,1 years,other,21,none,rent,1,0,1,2341917112.0,yes,skilled employee,male,425
427,,18,critical,radio/tv,1149,1216.0,1 years,4,single,none,2 years,real estate,46,none,own,2,0,1,,yes,skilled employee,male,427
429,-50.0,18,critical,repairs,1190,70.0,,2,,none,13 years,unknown/none,55,none,for free,3,1,2,,yes,unemployed non-resident,female,429
430,,5,repaid,business,3448,3.0,7 years,1,single,none,14 years,real estate,74,none,own,1,0,1,,yes,unskilled resident,male,430
431,92.0,24,repaid,others,11328,22.0,2 years,2,single,co-applicant,2 years,other,29,bank,own,2,1,1,2345919406.0,yes,mangement self-employed,male,431
432,-47.0,6,critical,furniture,1872,34.0,,4,single,none,13 years,unknown/none,36,none,for free,3,0,1,2345782918.0,yes,mangement self-employed,male,432
433,,24,critical,repairs,2058,71.0,3 years,4,divorced,none,7 months,real estate,33,none,own,2,0,1,2348795709.0,yes,skilled employee,male,433
434,-21.0,9,repaid,furniture,2136,71.0,2 years,3,single,none,0 months,real estate,25,none,own,1,0,1,,yes,skilled employee,male,434
435,87.0,12,repaid,radio/tv,1484,,1 years,2,married,none,,real estate,25,none,own,1,1,1,2349610479.0,yes,skilled employee,male,435
436,,6,repaid,repairs,660,561.0,5 years,2,married,none,8 years,real estate,23,none,rent,1,0,1,,yes,unskilled resident,male,436
437,,24,critical,car (new),1287,18318.0,12 years,4,,none,5 years,real estate,37,none,own,2,0,1,2348554603.0,yes,skilled employee,female,437
438,-7.0,42,critical,repairs,3394,61.0,,4,single,co-applicant,20 years,other,65,none,own,2,0,1,,yes,unemployed non-resident,male,438
439,397.0,12,fully repaid this bank,business,609,74.0,3 months,4,,none,,real estate,26,none,own,1,1,1,,yes,unemployed non-resident,female,439
440,,12,repaid,car (new),1884,89.0,9 years,4,single,none,18 years,other,39,none,own,1,0,1,2346616072.0,yes,mangement self-employed,male,440
442,110.0,20,delayed,others,2629,40.0,2 years,2,single,none,2 years,other,29,bank,own,2,0,1,2348724903.0,yes,skilled employee,male,442
443,,12,repaid,education,719,32.0,13 years,4,single,none,10 years,other,41,bank,own,1,1,2,,yes,unskilled resident,male,443
445,,9,critical,education,1244,,12 years,4,,none,16 years,building society savings,41,none,rent,2,0,1,,yes,unskilled resident,female,445
446,-24.0,36,repaid,car (new),1842,3.0,8 months,4,,none,24 years,other,34,none,own,1,1,1,2341202327.0,yes,skilled employee,female,446
447,82.0,7,repaid,radio/tv,2576,18.0,3 years,2,single,guarantor,1 months,real estate,35,none,own,1,0,1,,yes,skilled employee,male,447
448,745.0,12,repaid,furniture,1424,,13 years,3,,none,12 years,real estate,55,none,own,1,0,1,2340204247.0,yes,mangement self-employed,female,448
449,190.0,15,delayed,repairs,1512,1525.0,1 years,3,married,none,1 years,building society savings,61,stores,own,2,1,1,,yes,skilled employee,male,449
450,,36,critical,car (used),11054,,3 years,4,single,none,3 months,other,30,none,own,1,0,1,2344650026.0,yes,mangement self-employed,male,450
452,,12,fully repaid,furniture,2759,83.0,12 years,2,single,none,15 years,building society savings,34,none,own,2,0,1,,yes,skilled employee,male,452
454,-45.0,24,repaid,car (new),4817,87.0,7 years,2,single,co-applicant,2 years,building society savings,31,none,own,1,1,1,2344939820.0,yes,skilled employee,male,454
455,,24,repaid,car (used),2679,35.0,8 months,4,,none,,unknown/none,29,none,own,1,0,1,2347787613.0,yes,mangement self-employed,female,455
456,-8.0,11,critical,car (new),3905,96.0,1 years,2,single,none,11 months,real estate,36,none,rent,2,0,2,,yes,skilled employee,male,456
459,,18,repaid,radio/tv,4594,68.0,4 months,3,single,none,0 months,other,32,none,own,1,0,1,2345935542.0,yes,skilled employee,male,459
460,-29.0,36,repaid,furniture,3620,62.0,3 years,1,single,guarantor,9 months,building society savings,37,none,own,1,0,2,,yes,skilled employee,male,460
463,82.0,12,repaid,retraining,754,,13 years,4,single,none,19 years,building society savings,38,none,own,2,0,1,,yes,skilled employee,male,463
464,,18,repaid,business,1950,53.0,4 years,4,single,none,,other,34,stores,own,2,0,1,2341006016.0,yes,skilled employee,male,464
465,-24.0,24,repaid,car (used),2924,37.0,3 years,3,single,guarantor,6 years,unknown/none,63,bank,own,1,0,2,2345761408.0,yes,skilled employee,male,465
466,-47.0,24,delayed,radio/tv,1659,88.0,11 months,4,,none,10 months,other,29,none,rent,1,1,1,2342121614.0,yes,unskilled resident,female,466
467,,48,delayed,radio/tv,7238,,12 years,3,single,none,1 years,other,32,bank,own,2,0,2,,yes,skilled employee,male,467
469,,24,delayed,car (used),4679,25.0,4 years,3,single,none,4 years,other,35,none,own,2,0,1,2349752160.0,yes,unskilled resident,male,469
471,-42.0,6,repaid,education,448,52.0,7 months,4,,none,22 years,building society savings,23,none,own,1,1,1,,yes,skilled employee,female,471
473,,6,repaid,retraining,1238,,,4,single,none,15 years,building society savings,36,none,own,1,0,2,2344448318.0,yes,mangement self-employed,male,473
474,116.0,18,critical,radio/tv,1245,33.0,2 years,4,married,none,1 months,other,33,none,own,1,1,1,,yes,skilled employee,male,474
476,,39,repaid,car (used),2569,817.0,3 years,4,single,none,16 years,other,24,none,own,1,0,1,,yes,skilled employee,male,476
477,282.0,24,repaid,radio/tv,5152,16.0,5 years,4,single,none,8 months,other,25,bank,own,1,0,1,,yes,skilled employee,male,477
478,174.0,12,repaid,business,1037,126.0,5 years,3,single,none,12 years,real estate,39,none,own,1,0,1,,yes,unskilled resident,male,478
479,-33.0,15,critical,furniture,1478,54.0,15 years,4,single,none,18 years,other,44,none,own,2,0,2,2346586815.0,yes,skilled employee,male,479
480,167.0,12,critical,radio/tv,3573,31.0,3 years,1,,none,,real estate,23,none,own,1,0,1,,yes,unskilled resident,female,480
481,138.0,24,repaid,car (new),1201,1.0,6 months,4,single,none,,building society savings,26,none,own,1,0,1,,yes,skilled employee,male,481
482,-44.0,30,repaid,furniture,3622,14957.0,14 years,4,,none,6 years,building society savings,57,none,rent,2,0,1,2340881961.0,yes,skilled employee,female,482
483,,15,delayed,furniture,960,16242.0,4 years,3,,none,2 months,building society savings,30,none,own,2,0,1,,yes,skilled employee,female,483
485,72.0,6,delayed,car (new),1209,9.0,,4,single,none,9 years,building society savings,47,none,own,1,1,1,2348774440.0,yes,mangement self-employed,male,485
486,,12,repaid,radio/tv,3077,70.0,3 years,2,single,none,12 years,other,52,none,own,1,0,1,2342882012.0,yes,skilled employee,male,486
487,,24,repaid,car (new),3757,36.0,15 years,4,,co-applicant,5 years,unknown/none,62,none,for free,1,0,1,2344474567.0,yes,skilled employee,female,487
488,,10,repaid,car (new),1418,388.0,1 years,3,single,none,1 months,real estate,35,none,rent,1,0,1,,no,unskilled resident,male,488
489,,6,repaid,car (new),3518,30.0,2 years,2,single,guarantor,4 years,building society savings,26,none,rent,1,0,1,,yes,skilled employee,male,489
490,,12,critical,radio/tv,1934,50.0,7 years,2,single,none,7 months,unknown/none,26,none,own,2,0,1,,yes,skilled employee,male,490
491,155.0,27,fully repaid,business,8318,76.0,10 years,2,,none,11 years,unknown/none,42,none,for free,2,1,1,2345307699.0,yes,mangement self-employed,female,491
494,-12.0,12,critical,car (new),2122,11.0,2 years,3,single,none,2 months,real estate,39,none,rent,2,0,2,,no,unskilled resident,male,494
495,-26.0,24,repaid,furniture,2996,,3 years,2,married,none,9 years,other,20,none,own,1,1,1,,yes,skilled employee,male,495
500,-4.0,24,repaid,car (new),3123,60.0,2 months,4,,none,,building society savings,27,none,own,1,1,1,,yes,skilled employee,female,500
501,-20.0,36,repaid,car (used),5493,51.0,14 years,2,single,none,10 years,unknown/none,42,none,for free,1,0,2,,yes,skilled employee,male,501
502,495.0,9,repaid,radio/tv,1126,106.0,15 years,2,divorced,none,19 years,real estate,49,none,own,1,0,1,,yes,skilled employee,male,502
503,148.0,24,critical,radio/tv,1216,329.0,7 months,4,single,none,16 years,unknown/none,38,bank,own,2,1,2,,yes,skilled employee,male,503
504,-30.0,24,repaid,car (new),1207,48.0,4 months,4,,none,7 years,building society savings,24,none,rent,1,1,1,,yes,skilled employee,female,504
506,562.0,15,critical,car (used),2360,559.0,3 years,2,single,none,9 months,other,36,none,own,1,0,1,2340163349.0,yes,skilled employee,male,506
507,190.0,15,fully repaid this bank,car (new),6850,219.0,,1,single,none,7 months,building society savings,34,none,own,1,1,2,2344936130.0,yes,mangement self-employed,male,507
509,,39,repaid,car (used),8588,206.0,8 years,4,single,none,7 months,other,45,none,own,1,0,1,2344661558.0,yes,mangement self-employed,male,509
510,-34.0,12,repaid,car (new),759,46.0,7 years,4,single,none,3 months,real estate,26,none,own,1,1,1,,yes,skilled employee,male,510
511,,36,repaid,car (used),4686,83.0,2 years,2,single,none,11 months,unknown/none,32,none,for free,1,0,1,2342070880.0,yes,mangement self-employed,male,511
514,,24,repaid,car (new),2255,,6 months,4,single,none,,building society savings,54,none,own,1,0,1,,yes,skilled employee,male,514
516,-38.0,6,critical,car (new),1361,19.0,9 months,2,single,none,13 years,real estate,40,none,own,1,0,2,,no,unskilled resident,male,516
517,,36,critical,furniture,7127,52.0,0 months,2,,none,15 years,building society savings,23,none,rent,2,1,1,2346817938.0,yes,skilled employee,female,517
518,-22.0,6,repaid,car (new),1203,199.0,12 years,3,single,none,10 months,building society savings,43,none,own,1,0,1,2342926088.0,yes,skilled employee,male,518
520,,24,critical,repairs,5507,25.0,13 years,3,single,none,14 years,unknown/none,44,none,for free,2,0,1,,yes,skilled employee,male,520
521,-39.0,18,repaid,radio/tv,3190,89.0,2 years,2,,none,0 months,real estate,24,none,own,1,1,1,,yes,skilled employee,female,521
523,,24,repaid,car (used),3488,361.0,6 years,3,,none,14 years,other,23,none,own,1,0,1,,yes,skilled employee,female,523
525,29.0,26,repaid,car (used),7966,86.0,4 months,2,single,none,2 years,other,30,none,own,2,0,1,,yes,skilled employee,male,525
526,,15,critical,education,1532,410.0,1 years,4,,none,3 years,other,31,none,own,1,0,1,,yes,skilled employee,female,526
527,,4,critical,radio/tv,1503,57.0,7 years,2,single,none,,real estate,42,none,own,2,0,2,,yes,unskilled resident,male,527
529,-39.0,6,repaid,car (new),662,13.0,11 months,3,single,none,11 years,real estate,41,none,own,1,0,2,2341176034.0,yes,unskilled resident,male,529
530,127.0,36,repaid,education,2273,57.0,4 years,3,single,none,,other,32,none,own,2,0,2,,yes,skilled employee,male,530
533,,24,repaid,radio/tv,1311,164.0,6 years,4,married,none,3 years,building society savings,26,none,own,1,0,1,2342368135.0,yes,skilled employee,male,533
534,,24,repaid,radio/tv,3105,,3 months,4,single,none,1 months,other,25,none,own,2,0,1,,yes,skilled employee,male,534
535,821.0,21,critical,education,2319,29.0,9 months,2,divorced,none,,other,33,none,rent,1,1,1,,yes,skilled employee,male,535
536,-9.0,6,repaid,car (new),1374,,,4,,none,3 years,building society savings,75,none,own,1,0,1,2340000335.0,yes,mangement self-employed,female,536
537,71.0,18,critical,furniture,3612,19.0,11 years,3,,none,17 years,building society savings,37,none,own,1,0,1,2344622805.0,yes,skilled employee,female,537
538,-43.0,48,repaid,car (new),7763,19.0,11 years,4,single,none,8 years,unknown/none,42,bank,for free,1,1,1,,yes,mangement self-employed,male,538
539,782.0,18,repaid,furniture,3049,5.0,7 months,1,,none,,building society savings,45,stores,own,1,0,1,,yes,unskilled resident,female,539
541,,24,delayed,car (new),2032,71.0,13 years,4,single,none,8 years,unknown/none,60,none,for free,2,0,1,2341912103.0,yes,skilled employee,male,541
542,-22.0,30,repaid,furniture,6350,,15 years,4,single,none,21 years,building society savings,31,none,own,1,1,1,,yes,skilled employee,male,542
543,989.0,18,repaid,furniture,2864,80.0,3 years,2,single,none,,real estate,34,none,own,1,1,2,,yes,unskilled resident,male,543
544,,12,critical,car (new),1255,4.0,19 years,4,single,none,14 years,real estate,61,none,own,2,0,1,,yes,unskilled resident,male,544
545,-8.0,24,delayed,car (new),1333,38.0,,4,single,none,11 months,real estate,43,none,for free,2,1,2,,yes,skilled employee,male,545
546,,24,critical,car (new),2022,80.0,3 years,4,,none,8 years,other,37,none,own,1,0,1,2344365765.0,yes,skilled employee,female,546
551,,6,fully repaid this bank,radio/tv,1750,516.0,12 years,2,single,none,9 years,building society savings,45,bank,own,1,0,2,,yes,unskilled resident,male,551
552,-33.0,48,repaid,radio/tv,6999,51.0,5 years,1,married,guarantor,,real estate,34,none,own,2,1,1,2347741519.0,yes,skilled employee,male,552
555,102.0,12,repaid,radio/tv,1331,50.0,7 months,2,single,none,,other,22,stores,own,1,1,1,,yes,skilled employee,male,555
556,33.0,18,fully repaid,car (new),2278,406.0,1 months,3,,none,1 years,other,28,none,own,2,1,1,,yes,skilled employee,female,556
